userID,placeID,rating,food_rating,service_rating,hygine,StoreID,FOOD_AVG,service_AVG,hygine_AVG
U1077,135085,2,2,2,1,Store4,1.216333623,1.093913043,2.528236316
U1077,135038,2,2,1,3,Store4,1.216333623,1.093043478,2.529105126
U1077,132825,2,2,2,4,,1.216333623,1.093043478,2.530842745
U1077,135060,1,2,2,5,Store4,1.215464813,1.092173913,2.529973936
U1068,135104,1,1,2,5,Store5,1.214596003,1.091304348,2.527367507
U1068,132740,0,0,0,5,Store2,1.214596003,1.090434783,2.527367507
U1068,132663,1,1,1,2,,1.215464813,1.091304348,2.523023458
U1068,132732,0,0,0,0,Store2,1.215464813,1.091304348,2.524761077
U1068,132630,1,1,1,5,,1.216333623,1.091304348,2.526498697
U1067,132584,2,2,2,5,Store1,,1.090434783,2.523023458
U1067,132733,1,1,1,5,Store2,1.214596003,1.089565217,2.518679409
U1067,132732,1,2,2,3,Store2,1.214782609,1.088695652,2.516521739
U1067,132630,1,0,1,0,,1.214099217,1.087902524,2.516100957
U1067,135104,0,0,0,5,Store5,1.215156794,1.087979094,2.518292683
U1067,132560,1,0,0,1,Store1,,1.088927637,2.516129032
U1103,132584,1,2,1,0,Store1,,1.089877836,2.517452007
U1103,132732,0,0,2,5,Store2,1.216593886,1.089956332,2.519650655
U1103,132630,1,2,0,2,,1.217657343,1.089160839,2.517482517
U1103,132613,2,2,2,3,,1.216972878,1.090113736,2.517935258
U1103,132667,1,2,2,5,,1.216287215,1.089316988,2.517513135
U1103,135104,1,2,0,0,Store5,1.215600351,1.088518843,2.515337423
U1103,132663,1,0,2,3,,1.214912281,1.089473684,2.51754386
U1103,132733,2,2,2,3,Store2,1.215978929,1.088674276,2.517120281
U1107,132660,2,2,1,0,,1.215289982,1.087873462,2.516695958
U1107,132584,2,2,2,0,Store1,,1.087950748,2.518909411
U1107,132733,2,2,2,0,Store2,1.213908451,1.087147887,2.521126761
U1044,135088,2,2,2,4,Store4,1.213215859,1.086343612,2.523348018
U1044,132583,1,2,1,0,Store1,,1.085537919,2.522045855
U1070,132608,2,2,1,5,,1.211827008,1.085613416,2.524271845
U1070,132609,1,1,1,4,,1.211130742,1.085689046,2.522084806
U1070,132613,1,1,0,4,,1.211317418,1.08576481,2.520778073
U1031,132663,0,0,0,4,,1.211504425,1.086725664,2.519469027
U1031,132665,0,0,0,0,,1.212577502,1.08768822,2.518157662
U1031,132668,0,0,0,1,,1.213652482,1.088652482,2.520390071
U1082,132630,1,1,1,0,,1.21472937,1.089618456,2.52173913
U1023,132715,0,0,0,2,Store2,1.214920071,1.089698046,2.523978686
U1023,132717,0,0,0,1,Store2,1.216,1.090666667,2.524444444
U1082,132613,0,0,0,5,,1.217081851,1.091637011,2.525800712
U1082,132594,0,0,0,5,Store1,,1.092609083,2.523597507
U1082,132608,0,0,0,4,,1.219251337,1.093582888,2.521390374
U1082,132609,0,0,0,0,,1.220338983,1.09455843,2.520071365
U1082,132663,0,0,0,5,,1.221428571,1.095535714,2.522321429
U1082,132560,0,0,0,5,Store1,,1.096514745,2.520107239
U1060,132564,2,2,2,3,Store1,,1.097495528,2.517889088
U1060,132717,2,2,2,5,Store2,1.222918532,1.096687556,2.517457475
