userID,Cuisine
U1001,Vietnamese
U1002,Vegetarian
U1003,Turkish
U1004,Turkish
U1004,Tunisian
U1004,Tibetan
U1004,Thai
U1004,Tex-Mex
U1004,Tex-Mex
U1004,Tex-Mex
U1004,Tea_House
U1004,Tapas
U1005,Swiss
U1006,Sushi
U1007,Sushi
U1008,Sushi
U1008,Steaks
U1008,Spanish
U1008,Spanish
U1008,Southwestern
U1008,Southern
U1008,Southeast_Asian
U1008,Soup
U1008,Soup
U1008,Seafood
U1009,Seafood
U1009,Scandinavian
U1009,Russian-Ukrainian
U1009,Romanian
U1009,Regional
U1009,Regional
U1009,Regional
U1010,Regional
U1011,Regional
U1012,Portuguese
U1013,Portuguese
U1014,Polynesian
U1014,Polynesian
U1015,Polish
U1016,Polish
U1016,Pizzeria
U1016,Pizzeria
U1016,Pizzeria
U1016,Pizzeria
U1016,Pizzeria
U1016,Pizzeria
U1016,Pizzeria
U1016,Pizzeria
U1016,Pizzeria
U1016,Peruvian
U1016,Persian
U1016,Pacific_Rim
U1016,Pacific_Northwest
U1017,Organic-Healthy
U1018,North_African
U1019,Moroccan
U1020,Moroccan
U1021,Moroccan
U1021,Mongolian
U1021,Mongolian
U1021,Middle_Eastern
U1022,Middle_Eastern
U1023,Mexican
U1024,Mexican
U1025,Mexican
U1026,Mexican
U1027,Mexican
U1028,Mexican
U1029,Mexican
U1030,Mexican
U1031,Mexican
U1032,Mexican
U1033,Mexican
U1034,Mexican
U1035,Mexican
U1036,Mexican
U1037,Mexican
U1038,Mexican
U1039,Mexican
U1040,Mexican
U1041,Mexican
U1042,Mexican
U1043,Mexican
U1044,Mexican
U1045,Mexican
U1045,Mexican
U1045,Mexican
U1045,Mexican
U1046,Mexican
U1047,Mexican
U1048,Mexican
U1049,Mexican
U1050,Mexican
U1051,Mexican
U1052,Mexican
U1053,Mexican
U1054,Mexican
U1055,Mexican
U1056,Mexican
U1057,Mexican
U1058,Mexican
U1059,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1060,Mexican
U1061,Mexican
U1062,Mexican
U1063,Mexican
U1064,Mexican
U1065,Mexican
U1066,Mexican
U1067,Mexican
U1068,Mexican
U1069,Mexican
U1070,Mexican
U1071,Mexican
U1072,Mexican
U1073,Mexican
U1074,Mexican
U1075,Mexican
U1076,Mexican
U1077,Mexican
U1078,Mexican
U1079,Mexican
U1080,Mexican
U1081,Mexican
U1082,Mexican
U1083,Mexican
U1084,Mexican
U1085,Mexican
U1086,Mexican
U1087,Mexican
U1088,Mexican
U1089,Mexican
U1090,Mexican
U1091,Mexican
U1091,Mexican
U1092,Mexican
U1093,Mexican
U1094,Mexican
U1095,Mexican
U1096,Mexican
U1097,Mexican
U1098,Mexican
U1099,Mexican
U1100,Mexican
U1101,Mexican
U1101,Mexican
U1101,Mexican
U1101,Mediterranean
U1101,Malaysian
U1101,Lebanese
U1101,Lebanese
U1101,Latin_American
U1101,Latin_American
U1101,Latin_American
U1101,Latin_American
U1101,Latin_American
U1101,Latin_American
U1101,Kosher
U1101,Korean
U1102,Korean
U1103,Juice
U1104,Juice
U1105,Juice
U1106,Japanese
U1107,Japanese
U1108,Japanese
U1108,Japanese
U1108,Japanese
U1108,Japanese
U1108,Japanese
U1108,Jamaican
U1108,Italian
U1108,Italian
U1108,Italian
U1108,Italian
U1108,Italian
U1108,Italian
U1108,Italian
U1108,Israeli
U1108,Irish
U1108,International
U1108,Indonesian
U1108,Indigenous
U1109,Indian-Pakistani
U1110,Indian-Pakistani
U1111,Hungarian
U1112,Hot_Dogs
U1113,Hot_Dogs
